month,specialty,appointment_type,appointments_attended,appointments_attended_routine,appointments_attended_urgent,appointments_attended_2_week_wait,dna,appointments_for_removals,removals
31/05/2024,Vascular Surgery,Non-RTT,56,48,8,0,12,10,10
30/04/2024,Paediatrics,Non-RTT,270,227,43,0,54,131,105
31/07/2023,Dermatology,RTT Follow-up,524,155,119,250,17,409,298
31/07/2022,Vascular Surgery,Non-RTT,29,23,6,0,9,11,8
31/08/2022,Trauma & Orthopaedics,RTT Follow-up,756,640,116,0,93,365,209
30/09/2022,Diabetes,Non-RTT,530,499,31,0,128,236,43
31/01/2023,Neurology,RTT First,319,196,103,20,69,283,279
30/11/2024,Vascular Surgery,Non-RTT,38,34,4,0,3,1,1
31/10/2024,Cardiology,RTT First,530,330,200,0,61,525,502
30/06/2022,Gastroenterology,RTT Follow-up,177,137,27,13,11,117,89
31/10/2024,Colorectal Surgery,RTT First,677,141,63,473,12,872,516
31/10/2022,General Surgery,RTT First,815,565,237,13,55,397,312
30/06/2022,Paediatrics,Non-RTT,236,192,44,0,57,211,109
31/10/2024,Urology,RTT Follow-up,374,162,63,149,25,226,129
31/12/2022,Urology,RTT Follow-up,209,75,27,107,36,148,96
31/08/2023,Clinical Haematology,RTT Follow-up,91,35,24,32,8,77,51
31/07/2024,Breast Surgery,RTT Follow-up,97,39,20,38,10,58,34
31/08/2022,ENT,Non-RTT,592,441,85,66,135,669,332
31/12/2022,Respiratory,Non-RTT,552,431,97,24,70,371,140
31/08/2024,Clinical Haematology,RTT Follow-up,100,43,32,25,12,55,36
28/02/2023,Breast Surgery,RTT Follow-up,76,23,19,34,7,59,25
31/07/2023,Respiratory,RTT Follow-up,116,80,32,4,14,66,47
31/05/2024,Urology,RTT Follow-up,298,97,58,143,15,232,124
31/05/2023,Cardiology,RTT First,582,318,264,0,71,430,409
30/06/2022,General Medicine,Non-RTT,79,76,3,0,4,251,86
31/03/2024,ENT,RTT Follow-up,1268,775,168,325,84,830,510
30/06/2023,Breast Surgery,Non-RTT,77,38,12,27,9,66,22
30/09/2023,ENT,RTT Follow-up,809,401,90,318,65,698,373
30/06/2022,Cardiology,RTT Follow-up,104,41,63,0,2,76,72
28/02/2023,Dermatology,RTT Follow-up,420,147,72,201,17,348,236
30/11/2023,Paediatric ENT,RTT First,358,257,99,2,16,241,240
31/01/2024,Dermatology,RTT First,910,242,41,627,76,938,929
31/08/2024,Gynaecology,RTT First,1253,835,170,248,107,964,917
31/07/2022,General Surgery,Non-RTT,214,169,27,18,30,114,63
30/06/2024,Respiratory,RTT First,482,357,59,66,60,343,296
28/02/2023,Gastroenterology,Non-RTT,807,686,99,22,130,312,142
30/06/2023,Rheumatology,RTT First,436,396,40,0,65,292,290
30/06/2023,Respiratory,RTT First,458,300,67,91,55,293,267
30/04/2023,Diabetes,RTT Follow-up,56,43,13,0,9,2,2
30/09/2024,ENT,RTT Follow-up,762,405,129,228,65,758,465
30/06/2024,Breast Surgery,RTT First,554,2,4,548,16,617,608
31/07/2023,Diabetes,Non-RTT,443,391,52,0,118,282,77
31/01/2023,Paediatrics,RTT First,457,383,74,0,46,381,374
29/02/2024,Gastroenterology,Non-RTT,744,608,97,39,86,219,139
31/07/2022,Trauma & Orthopaedics,RTT First,579,497,82,0,56,556,513
31/07/2023,Clinical Haematology,RTT First,104,60,20,24,11,101,95
31/08/2023,Gynaecology,RTT First,1017,516,240,261,84,911,849
31/12/2022,Dermatology,Non-RTT,808,560,114,134,127,700,218
30/11/2024,Breast Surgery,Non-RTT,142,74,16,52,11,36,25
31/08/2023,General Surgery,RTT First,767,538,185,44,63,302,238
31/08/2022,Neurology,RTT First,222,138,62,22,23,212,210
31/12/2023,General Medicine,Non-RTT,41,41,0,0,2,120,77
31/10/2022,Urology,Non-RTT,482,280,39,163,57,275,94
30/09/2022,Vascular Surgery,RTT Follow-up,61,50,11,0,8,48,39
31/01/2023,Trauma & Orthopaedics,RTT Follow-up,815,727,88,0,127,540,284
31/01/2024,Neurology,RTT Follow-up,39,25,7,7,5,37,35
30/11/2022,Urology,RTT First,350,110,40,200,11,324,304
31/01/2023,Paediatric ENT,RTT Follow-up,149,108,37,4,6,52,29
31/08/2024,Urology,Non-RTT,436,259,61,116,102,125,72
30/06/2024,Paediatrics,RTT Follow-up,25,20,5,0,0,17,17
31/01/2023,Colorectal Surgery,RTT Follow-up,659,50,101,508,7,454,351
31/01/2024,General Surgery,Non-RTT,213,170,34,9,36,175,97
30/06/2023,General Surgery,Non-RTT,214,178,30,6,44,158,84
30/09/2022,Gynaecology,Non-RTT,590,367,133,90,101,406,221
31/08/2022,Rheumatology,RTT Follow-up,117,108,9,0,4,35,32
31/12/2022,Cardiology,RTT First,327,166,161,0,46,325,299
30/11/2023,Breast Surgery,Non-RTT,96,47,17,32,15,58,17
31/08/2023,Breast Surgery,RTT First,548,3,14,531,19,598,591
31/01/2023,Clinical Haematology,Non-RTT,948,579,150,219,93,285,71
29/02/2024,Cardiology,Non-RTT,319,257,62,0,29,236,152
31/10/2022,ENT,RTT Follow-up,571,342,77,152,43,481,283
30/09/2024,Gynaecology,RTT Follow-up,756,432,148,176,56,709,428
31/08/2023,Neurology,RTT Follow-up,52,34,13,5,4,42,40
30/06/2024,Dermatology,RTT First,926,153,48,725,42,939,934
30/11/2023,Rheumatology,RTT First,455,414,41,0,75,298,295
30/06/2023,Dermatology,RTT First,1065,203,35,827,68,1046,1043
30/09/2023,Urology,Non-RTT,512,271,71,170,91,283,123
30/04/2024,Urology,RTT First,438,161,113,164,21,391,320
30/04/2024,Diabetes,RTT Follow-up,76,57,19,0,12,16,6
31/03/2023,Clinical Haematology,RTT Follow-up,80,29,17,34,5,55,43
30/06/2024,General Surgery,Non-RTT,199,176,19,4,40,100,67
30/11/2024,General Surgery,Non-RTT,240,211,22,7,23,36,26
30/11/2022,Paediatrics,Non-RTT,294,240,54,0,29,252,133
29/02/2024,Breast Surgery,RTT Follow-up,62,21,9,32,7,38,33
31/12/2023,Clinical Haematology,Non-RTT,585,351,80,154,56,122,34
31/03/2023,General Medicine,RTT Follow-up,96,64,20,12,0,80,63
30/09/2022,Gastroenterology,Non-RTT,707,584,99,24,92,232,94
30/04/2024,Neurology,Non-RTT,514,408,93,13,74,150,110
30/11/2024,Rheumatology,RTT First,441,360,81,0,58,251,249
31/10/2024,Trauma & Orthopaedics,Non-RTT,793,721,72,0,145,451,241
31/03/2023,General Surgery,RTT First,788,537,237,14,51,328,260
29/02/2024,ENT,RTT First,1109,770,126,213,91,1014,998
31/05/2024,Cardiology,RTT First,496,322,174,0,63,469,442
31/12/2022,Breast Surgery,Non-RTT,77,49,8,20,6,61,21
30/11/2023,Dermatology,Non-RTT,1191,780,172,239,172,689,247
30/09/2024,Urology,RTT First,374,117,98,159,28,281,225
31/03/2023,Gynaecology,RTT First,1085,605,215,265,100,1011,951
30/04/2023,Gynaecology,RTT Follow-up,691,322,170,199,51,431,273
30/06/2022,Paediatric ENT,RTT Follow-up,122,91,29,2,8,45,35
30/09/2022,General Medicine,RTT First,119,99,2,18,4,262,243
31/10/2023,Rheumatology,Non-RTT,537,380,157,0,40,270,96
31/12/2023,Respiratory,RTT Follow-up,83,62,16,5,12,59,47
31/10/2024,Rheumatology,Non-RTT,1106,804,302,0,78,87,57
31/01/2023,General Medicine,Non-RTT,125,122,3,0,2,179,80
31/05/2023,Trauma & Orthopaedics,Non-RTT,741,691,50,0,144,1085,383
31/05/2024,Dermatology,Non-RTT,1113,801,197,115,106,475,213
30/11/2022,Diabetes,RTT Follow-up,76,61,15,0,6,11,9
31/07/2022,Breast Surgery,Non-RTT,112,71,14,27,5,42,21
31/08/2024,General Medicine,RTT Follow-up,137,98,39,0,1,108,65
31/08/2022,Dermatology,RTT Follow-up,347,122,148,77,11,258,204
30/06/2022,Neurology,Non-RTT,595,458,120,17,89,241,119
31/05/2024,Breast Surgery,Non-RTT,96,50,17,29,6,45,24
30/04/2023,ENT,RTT Follow-up,728,337,70,321,46,559,346
31/08/2022,Respiratory,RTT Follow-up,132,94,32,6,7,40,35
29/02/2024,Paediatric ENT,Non-RTT,227,186,41,0,54,126,92
30/06/2023,Trauma & Orthopaedics,RTT First,779,723,56,0,85,912,841
31/12/2022,Rheumatology,RTT First,383,338,45,0,99,256,251
30/06/2024,Trauma & Orthopaedics,RTT First,667,614,53,0,29,638,580
30/04/2023,Neurology,Non-RTT,446,346,89,11,95,147,86
30/11/2024,Colorectal Surgery,RTT First,631,107,55,469,13,849,492
31/08/2024,General Surgery,RTT First,688,574,96,18,56,399,301
31/07/2023,General Medicine,RTT First,142,99,2,41,3,198,181
31/07/2024,Clinical Haematology,RTT First,164,86,31,47,18,128,125
31/10/2023,Gastroenterology,RTT First,509,450,29,30,63,469,400
31/12/2023,Paediatrics,RTT First,261,208,53,0,42,265,261
31/05/2023,Breast Surgery,Non-RTT,95,42,11,42,15,36,19
30/11/2023,Colorectal Surgery,RTT First,653,124,91,438,23,866,507
31/07/2023,Paediatrics,RTT First,307,268,38,1,27,337,327
31/01/2024,Breast Surgery,RTT First,511,8,6,497,13,557,552
30/11/2024,Trauma & Orthopaedics,RTT First,637,537,100,0,40,620,559
28/02/2023,General Medicine,Non-RTT,122,116,5,1,5,183,75
30/11/2024,Neurology,RTT Follow-up,35,25,9,1,3,21,18
31/10/2023,Dermatology,Non-RTT,1089,724,157,208,157,683,281
30/04/2023,Clinical Haematology,RTT Follow-up,96,49,28,19,4,56,43
31/07/2024,Trauma & Orthopaedics,RTT Follow-up,711,622,89,0,62,558,265
31/03/2023,ENT,RTT Follow-up,712,411,67,234,55,666,387
30/06/2023,Rheumatology,Non-RTT,698,517,181,0,54,410,142
30/06/2024,General Medicine,RTT Follow-up,123,71,51,1,0,134,72
30/11/2023,Breast Surgery,RTT First,567,6,5,556,19,643,635
30/11/2022,General Surgery,RTT First,795,566,209,20,65,376,292
31/05/2023,General Surgery,Non-RTT,187,165,17,5,47,163,76
30/04/2023,Colorectal Surgery,RTT Follow-up,502,31,60,411,2,419,333
31/05/2023,Rheumatology,Non-RTT,876,635,241,0,52,441,122
31/07/2024,Cardiology,RTT Follow-up,46,39,7,0,6,105,91
30/11/2023,Neurology,RTT Follow-up,52,33,13,6,4,41,40
31/01/2023,Urology,RTT First,352,123,86,143,6,278,247
31/05/2024,Paediatric ENT,RTT First,412,307,105,0,37,387,385
31/10/2022,Neurology,RTT Follow-up,20,9,9,2,5,15,15
31/01/2024,Vascular Surgery,RTT First,169,127,42,0,22,146,144
31/07/2022,Dermatology,Non-RTT,1210,811,176,223,145,749,273
31/12/2023,General Medicine,RTT First,126,40,52,34,8,318,258
30/11/2024,Breast Surgery,RTT First,546,2,5,539,12,387,383
31/10/2022,Paediatrics,Non-RTT,285,245,40,0,43,238,139
31/07/2024,Rheumatology,RTT Follow-up,200,174,26,0,16,57,49
31/08/2022,Neurology,Non-RTT,499,397,82,20,91,199,103
31/05/2023,Trauma & Orthopaedics,RTT First,747,679,68,0,59,812,756
30/09/2022,ENT,RTT First,1249,927,168,154,214,995,955
31/01/2024,Cardiology,RTT First,483,307,176,0,54,445,428
30/11/2023,Respiratory,RTT First,517,380,66,71,68,330,286
30/09/2023,Diabetes,RTT Follow-up,81,67,14,0,13,20,7
31/12/2022,Neurology,RTT Follow-up,24,14,6,4,4,16,15
31/07/2024,ENT,RTT First,1422,881,247,294,138,1202,1184
31/12/2022,Diabetes,RTT First,100,74,26,0,17,83,83
31/05/2023,Rheumatology,RTT First,467,409,58,0,58,316,316
31/07/2022,General Medicine,RTT Follow-up,41,41,0,0,0,42,34
31/08/2024,Breast Surgery,RTT First,456,3,4,449,12,426,422
31/10/2022,Breast Surgery,RTT First,547,5,5,537,13,492,490
31/10/2023,Paediatric ENT,Non-RTT,183,149,34,0,51,168,119
30/06/2023,Gynaecology,RTT First,1033,510,252,271,65,1005,913
31/10/2023,Paediatric ENT,RTT First,376,300,76,0,35,281,280
31/01/2023,Dermatology,RTT Follow-up,414,151,91,172,14,379,249
30/06/2022,Respiratory,RTT Follow-up,100,77,15,8,8,49,40
30/06/2022,Gynaecology,RTT Follow-up,812,400,197,215,71,585,347
29/02/2024,Diabetes,Non-RTT,553,494,59,0,144,185,65
30/09/2023,Breast Surgery,RTT First,497,8,13,476,23,519,514
30/11/2022,Rheumatology,RTT Follow-up,147,130,17,0,12,48,42
31/07/2023,Gynaecology,Non-RTT,619,364,156,99,146,531,270
31/07/2023,Gastroenterology,Non-RTT,741,616,111,14,102,462,231
30/04/2024,Neurology,RTT First,246,176,53,17,50,258,256
30/06/2024,Gynaecology,RTT First,946,595,129,222,89,878,840
31/05/2024,General Surgery,Non-RTT,234,208,23,3,45,106,76
30/04/2023,Paediatric ENT,RTT Follow-up,103,71,29,3,5,56,29
31/07/2023,Paediatrics,Non-RTT,189,149,40,0,35,161,98
30/09/2022,Dermatology,RTT Follow-up,357,108,143,106,14,283,209
31/07/2022,Trauma & Orthopaedics,Non-RTT,626,566,60,0,135,828,275
30/09/2022,Rheumatology,Non-RTT,888,672,216,0,87,322,81
31/03/2024,Paediatric ENT,RTT Follow-up,347,293,53,1,23,260,134
31/08/2022,Vascular Surgery,RTT Follow-up,70,58,12,0,10,56,41
28/02/2023,Colorectal Surgery,RTT Follow-up,704,49,104,551,4,451,359
31/03/2024,Urology,Non-RTT,500,288,67,145,102,200,127
30/11/2022,Cardiology,RTT Follow-up,131,58,73,0,6,126,89
31/05/2024,Dermatology,RTT First,1017,194,33,790,49,955,953
31/08/2022,Breast Surgery,RTT Follow-up,60,19,12,29,5,26,19
30/09/2024,Cardiology,RTT Follow-up,56,43,13,0,6,105,101
31/12/2023,ENT,Non-RTT,576,357,128,91,145,570,316
30/09/2023,Neurology,RTT Follow-up,47,28,14,5,8,36,36
31/08/2024,Gynaecology,RTT Follow-up,673,318,172,183,41,613,359
28/02/2023,Neurology,RTT First,362,229,106,27,83,342,342
29/02/2024,Respiratory,RTT Follow-up,122,92,23,7,20,68,58
31/08/2022,Gastroenterology,RTT Follow-up,142,112,18,12,9,56,47
31/07/2023,ENT,RTT First,936,568,123,245,94,904,857
30/06/2024,Urology,Non-RTT,493,258,69,166,115,209,112
30/09/2023,Paediatrics,Non-RTT,241,200,41,0,45,218,145
31/10/2024,Respiratory,RTT First,510,382,64,64,46,325,287
30/11/2024,Cardiology,RTT First,515,301,214,0,69,321,304
31/05/2023,Cardiology,Non-RTT,292,247,45,0,39,276,149
30/09/2022,General Surgery,RTT Follow-up,405,329,55,21,38,190,115
31/10/2023,Colorectal Surgery,RTT First,607,136,76,395,18,874,509
30/09/2022,Trauma & Orthopaedics,Non-RTT,726,649,77,0,147,924,311
31/07/2024,Gastroenterology,Non-RTT,615,498,95,22,94,134,100
29/02/2024,Colorectal Surgery,Non-RTT,163,66,44,53,10,92,66
31/05/2023,ENT,RTT First,1265,853,168,244,143,1027,981
31/10/2023,Respiratory,RTT First,460,332,56,72,66,306,264
31/01/2024,Breast Surgery,Non-RTT,77,39,13,25,17,78,30
31/10/2022,Diabetes,RTT Follow-up,46,42,4,0,4,8,6
29/02/2024,Neurology,RTT First,326,225,77,24,50,344,341
30/09/2024,General Surgery,RTT First,795,630,145,20,50,383,280
30/09/2024,Paediatrics,Non-RTT,255,211,44,0,54,50,47
31/12/2023,Urology,RTT First,383,133,89,161,15,320,266
30/11/2023,Gastroenterology,RTT First,450,396,27,27,52,419,343
29/02/2024,Diabetes,RTT First,133,104,29,0,31,78,78
31/05/2023,Vascular Surgery,Non-RTT,45,38,7,0,8,20,11
31/08/2024,Paediatrics,RTT Follow-up,17,15,2,0,3,16,15
31/03/2023,Urology,RTT First,370,125,70,175,13,303,264
30/04/2024,Respiratory,RTT Follow-up,70,50,17,3,12,69,60
31/01/2023,ENT,Non-RTT,778,578,120,80,165,632,322
31/07/2023,Breast Surgery,RTT Follow-up,88,38,28,22,7,62,32
28/02/2023,Respiratory,RTT Follow-up,113,93,14,6,9,36,35
30/09/2023,General Surgery,RTT First,668,395,239,34,39,318,259
31/08/2022,Cardiology,RTT Follow-up,128,30,98,0,12,89,68
30/06/2023,Trauma & Orthopaedics,Non-RTT,852,795,57,0,151,1068,423
31/10/2023,Urology,RTT Follow-up,348,118,56,174,28,228,142
30/11/2024,Gastroenterology,RTT First,414,243,154,17,35,257,223
31/01/2024,Rheumatology,RTT First,479,403,76,0,79,338,331
30/11/2022,Gastroenterology,RTT Follow-up,269,231,21,17,18,135,104
31/07/2023,Cardiology,Non-RTT,326,273,53,0,45,175,91
31/03/2024,Gynaecology,RTT First,1090,717,123,250,66,980,952
31/01/2023,General Medicine,RTT First,106,72,8,26,0,201,160
30/04/2024,Urology,Non-RTT,564,326,68,170,129,211,128
30/06/2023,Clinical Haematology,RTT Follow-up,85,35,23,27,14,53,40
29/02/2024,Gynaecology,Non-RTT,588,355,146,87,118,420,275
31/05/2024,Trauma & Orthopaedics,Non-RTT,690,628,62,0,104,855,380
30/11/2024,Paediatrics,RTT Follow-up,26,23,3,0,2,16,16
31/12/2022,Paediatric ENT,Non-RTT,100,72,27,1,44,73,48
30/06/2023,Dermatology,Non-RTT,1160,800,173,187,156,691,273
31/03/2023,Dermatology,RTT First,925,166,28,731,59,866,863
30/09/2024,Vascular Surgery,RTT First,166,136,30,0,17,167,162
31/07/2022,Colorectal Surgery,RTT First,873,278,67,528,42,962,546
31/07/2022,Rheumatology,Non-RTT,810,614,196,0,73,284,73
31/08/2024,Neurology,RTT Follow-up,21,17,2,2,1,12,11
30/11/2023,Paediatrics,RTT Follow-up,14,9,5,0,1,18,16
30/09/2023,Vascular Surgery,RTT First,132,119,13,0,15,139,138
30/11/2024,Respiratory,Non-RTT,549,430,108,11,86,42,35
30/09/2022,Rheumatology,RTT Follow-up,116,102,14,0,16,27,25
30/11/2024,Vascular Surgery,RTT First,142,113,29,0,20,188,182
28/02/2023,Paediatric ENT,Non-RTT,232,188,43,1,54,150,90
30/04/2023,Urology,Non-RTT,384,201,63,120,60,306,107
30/09/2023,Gynaecology,RTT Follow-up,757,398,167,192,87,580,356
31/08/2022,General Surgery,RTT Follow-up,313,244,59,10,25,211,136
30/06/2024,Dermatology,Non-RTT,1132,824,190,118,143,416,193
30/11/2023,Colorectal Surgery,Non-RTT,163,56,41,66,9,105,60
31/10/2022,Gastroenterology,RTT Follow-up,230,197,22,11,12,125,98
31/08/2022,ENT,RTT First,1286,938,217,131,186,1114,1044
31/12/2022,Paediatrics,RTT Follow-up,24,18,6,0,2,18,17
31/08/2022,Gynaecology,Non-RTT,703,406,163,134,117,487,257
31/07/2023,Gastroenterology,RTT Follow-up,234,198,21,15,20,145,120
30/04/2024,General Medicine,Non-RTT,133,132,1,0,4,129,105
31/10/2022,Neurology,Non-RTT,611,486,103,22,99,217,121
31/07/2024,General Surgery,RTT Follow-up,421,355,63,3,41,344,193
31/01/2024,General Surgery,RTT First,799,603,182,14,58,364,298
30/04/2023,Gynaecology,RTT First,908,452,250,206,60,701,656
31/05/2023,Dermatology,RTT First,868,211,18,639,67,831,827
31/08/2022,Gastroenterology,Non-RTT,654,550,90,14,59,241,87
30/09/2024,Gastroenterology,RTT Follow-up,100,84,10,6,13,79,70
31/05/2024,Rheumatology,Non-RTT,973,682,291,0,62,271,128
30/04/2023,General Medicine,RTT Follow-up,60,35,25,0,0,74,54
30/09/2023,Gastroenterology,RTT Follow-up,213,185,18,10,18,111,84
30/04/2023,General Medicine,Non-RTT,63,61,2,0,2,139,65
30/06/2022,Neurology,RTT First,261,169,64,28,35,246,240
29/02/2024,Respiratory,Non-RTT,531,395,117,19,87,301,139
31/10/2022,Paediatrics,RTT Follow-up,28,18,10,0,2,23,21
31/03/2024,General Medicine,RTT Follow-up,203,60,142,1,2,156,67
28/02/2023,Clinical Haematology,Non-RTT,848,511,129,208,80,264,59
31/07/2024,Cardiology,Non-RTT,296,251,45,0,44,133,78
31/08/2022,Paediatrics,Non-RTT,201,154,47,0,43,217,121
31/08/2023,Respiratory,RTT First,433,278,79,76,45,270,228
31/12/2022,Colorectal Surgery,Non-RTT,155,65,42,48,16,108,33
31/07/2023,General Surgery,RTT Follow-up,307,239,65,3,24,242,138
30/11/2023,Respiratory,Non-RTT,598,451,124,23,77,351,173
31/01/2023,Clinical Haematology,RTT First,169,72,35,62,15,125,123
30/06/2024,Clinical Haematology,RTT Follow-up,119,48,42,29,13,72,51
31/10/2024,Paediatric ENT,Non-RTT,325,259,66,0,68,31,31
31/10/2022,Vascular Surgery,RTT First,99,87,12,0,12,64,64
31/07/2024,Vascular Surgery,RTT Follow-up,38,36,2,0,4,79,57
31/12/2022,Respiratory,RTT First,437,294,77,66,39,284,232
31/07/2023,Cardiology,RTT Follow-up,98,38,60,0,3,83,79
30/06/2023,Paediatric ENT,RTT First,308,278,27,3,29,212,210
31/10/2024,Colorectal Surgery,Non-RTT,141,81,30,30,6,67,43
31/03/2024,Clinical Haematology,RTT Follow-up,87,37,22,28,19,75,55
30/11/2023,Diabetes,RTT First,156,112,44,0,28,133,133
28/02/2023,Diabetes,RTT First,138,105,33,0,29,92,89
30/06/2023,General Medicine,RTT Follow-up,98,43,54,1,0,77,59
30/06/2022,Paediatrics,RTT First,352,283,69,0,43,326,323
31/07/2023,Vascular Surgery,RTT Follow-up,126,104,22,0,13,122,94
31/08/2023,Diabetes,RTT Follow-up,73,55,18,0,13,23,4
30/04/2024,Paediatrics,RTT First,404,345,59,0,37,403,392
31/07/2022,Urology,RTT Follow-up,289,123,29,137,25,165,112
31/10/2024,Diabetes,RTT First,129,98,31,0,32,87,84
30/09/2024,Neurology,Non-RTT,532,411,98,23,89,43,30
30/09/2022,Cardiology,Non-RTT,314,266,48,0,39,325,141
30/06/2022,Diabetes,RTT Follow-up,52,45,7,0,14,22,18
31/01/2024,Vascular Surgery,Non-RTT,48,35,13,0,17,31,25
28/02/2023,Paediatrics,RTT First,475,373,102,0,46,402,396
30/04/2023,Clinical Haematology,Non-RTT,757,441,127,189,61,254,60
30/06/2023,Colorectal Surgery,RTT First,686,129,69,488,31,901,549
